SessionKey,DriverNo,LapNo,LapTime,NoPits,PitIn,PitOut,PitStopDuration,Compound,TyreAge,Sector1_Time,Sector2_Time,Sector3_Time,LapStartTime,LapStartDate,Speed_I1,Speed_I2,Speed_FL,Speed_ST,TrackStatus,IsDeleted,DeletionMessage,Driver
9574.0,1,30.0,0 days 00:01:46.447000,2.0,,,,MEDIUM,1.0,0 days 00:00:30.611000,0 days 00:00:47.026000,0 days 00:00:28.810000,0 days 01:48:37.772000,2024-07-28 13:57:15.750,336,209,220,,1,False,,[1] VER - Red Bull Racing
9574.0,1,31.0,0 days 00:01:46.363000,2.0,,,,MEDIUM,1.0,0 days 00:00:30.950000,0 days 00:00:46.698000,0 days 00:00:28.715000,0 days 01:50:24.276000,2024-07-28 13:59:02.254,316,208,220,310,1,False,,[1] VER - Red Bull Racing
9574.0,1,32.0,0 days 00:01:46.128000,2.0,,,,MEDIUM,3.0,0 days 00:00:30.875000,0 days 00:00:46.512000,0 days 00:00:28.741000,0 days 01:52:10.673000,2024-07-28 14:00:48.651,313,210,220,316,1,False,,[1] VER - Red Bull Racing
9574.0,1,33.0,0 days 00:01:46.417000,2.0,,,,MEDIUM,4.0,0 days 00:00:30.904000,0 days 00:00:46.670000,0 days 00:00:28.843000,0 days 01:53:56.679000,2024-07-28 14:02:34.657,311,207,220,314,1,False,,[1] VER - Red Bull Racing
9574.0,1,34.0,0 days 00:01:46.630000,2.0,,,,MEDIUM,5.0,0 days 00:00:30.957000,0 days 00:00:46.821000,0 days 00:00:28.852000,0 days 01:55:43.052000,2024-07-28 14:04:21.030,312,207,221,315,1,False,,[1] VER - Red Bull Racing
9574.0,1,35.0,0 days 00:01:47.009000,2.0,,,,MEDIUM,6.0,0 days 00:00:30.947000,0 days 00:00:47.264000,0 days 00:00:28.798000,0 days 01:57:29.727000,2024-07-28 14:06:07.705,,205,221,314,1,False,,[1] VER - Red Bull Racing
9574.0,1,36.0,0 days 00:01:47.156000,2.0,,,,MEDIUM,7.0,0 days 00:00:30.906000,0 days 00:00:47.253000,0 days 00:00:28.997000,0 days 01:59:16.760000,2024-07-28 14:07:54.738,315,206,221,,1,False,,[1] VER - Red Bull Racing
9574.0,1,37.0,0 days 00:01:47.200000,2.0,,,,MEDIUM,8.0,0 days 00:00:30.765000,0 days 00:00:47.596000,0 days 00:00:28.839000,0 days 02:01:03.902000,2024-07-28 14:09:41.880,328,204,221,316,1,False,,[1] VER - Red Bull Racing
9574.0,1,38.0,0 days 00:01:47.177000,2.0,,,,MEDIUM,9.0,0 days 00:00:30.850000,0 days 00:00:47.473000,0 days 00:00:28.854000,0 days 02:02:51.159000,2024-07-28 14:11:29.137,316,207,221,317,1,False,,[1] VER - Red Bull Racing
9574.0,1,39.0,0 days 00:01:47.244000,2.0,,,,MEDIUM,10.0,0 days 00:00:30.883000,0 days 00:00:47.479000,0 days 00:00:28.882000,0 days 02:04:38.314000,2024-07-28 14:13:16.292,314,199,220,,1,False,,[1] VER - Red Bull Racing
9574.0,1,40.0,0 days 00:01:47.227000,2.0,,,,MEDIUM,11.0,0 days 00:00:30.646000,0 days 00:00:47.673000,0 days 00:00:28.908000,0 days 02:06:25.548000,2024-07-28 14:15:03.526,332,206,221,316,1,False,,[1] VER - Red Bull Racing
9574.0,1,41.0,0 days 00:01:47.354000,2.0,,,,MEDIUM,12.0,0 days 00:00:30.598000,0 days 00:00:47.920000,0 days 00:00:28.836000,0 days 02:08:12.725000,2024-07-28 14:16:50.703,333,204,221,,1,False,,[1] VER - Red Bull Racing
9574.0,1,42.0,0 days 00:01:47.387000,2.0,,,,MEDIUM,13.0,0 days 00:00:30.637000,0 days 00:00:47.949000,0 days 00:00:28.801000,0 days 02:10:00.105000,2024-07-28 14:18:38.083,341,208,223,319,1,False,,[1] VER - Red Bull Racing
9574.0,1,43.0,0 days 00:01:47.102000,2.0,,,,MEDIUM,14.0,0 days 00:00:30.579000,0 days 00:00:47.831000,0 days 00:00:28.692000,0 days 02:11:47.502000,2024-07-28 14:20:25.480,335,208,224,317,1,False,,[1] VER - Red Bull Racing
9574.0,1,44.0,0 days 00:01:46.899000,2.0,,,,MEDIUM,15.0,0 days 00:00:30.605000,0 days 00:00:47.569000,0 days 00:00:28.725000,0 days 02:13:34.546000,2024-07-28 14:22:12.524,334,206,224,,1,False,,[1] VER - Red Bull Racing
9574.0,10,2.0,0 days 00:01:51.273000,0.0,,,,MEDIUM,1.0,0 days 00:00:31.234000,0 days 00:00:50.430000,0 days 00:00:29.609000,0 days 00:57:13.725000,2024-07-28 13:05:51.703,348,199,216,312,1,False,,[10] GAS - Alpine
9574.0,10,1.0,,0.0,0 days 00:17:24.650000,,,MEDIUM,4.0,,0 days 00:00:52.344000,0 days 00:00:29.936000,0 days 00:55:14.763000,2024-07-28 13:03:52.741,327,197,,284,1,False,,[10] GAS - Alpine
9574.0,10,3.0,0 days 00:01:50.757000,0.0,,,,MEDIUM,4.0,0 days 00:00:31.371000,0 days 00:00:49.771000,0 days 00:00:29.615000,0 days 00:59:04.998000,2024-07-28 13:07:42.976,334,200,217,311,1,False,,[10] GAS - Alpine
9574.0,10,4.0,0 days 00:01:50.366000,0.0,,,,MEDIUM,4.0,0 days 00:00:31.298000,0 days 00:00:49.692000,0 days 00:00:29.376000,0 days 01:00:55.716000,2024-07-28 13:09:33.694,332,198,215,,1,False,,[10] GAS - Alpine
9574.0,10,5.0,0 days 00:01:50.528000,0.0,,,,MEDIUM,4.0,0 days 00:00:31.243000,0 days 00:00:49.858000,0 days 00:00:29.427000,0 days 01:02:46.194000,2024-07-28 13:11:24.172,333,192,219,,1,False,,[10] GAS - Alpine
9574.0,10,6.0,0 days 00:01:51.092000,0.0,,,,MEDIUM,5.0,0 days 00:00:31.374000,0 days 00:00:50.109000,0 days 00:00:29.609000,0 days 01:04:36.640000,2024-07-28 13:13:14.618,332,196,216,312,1,False,,[10] GAS - Alpine
