season,session,round,position,number,driver,team,col_5,col_6,col_7,col_8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1821S. GelaelGELPertamina Arden,10,1:40.778,1.871,0.277,193.327,20:10:46,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1917S. CanamasasCANTrident,10,1:40.810,1.903,0.032,193.266,20:07:14,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",2012S. ColettiCOLCampos Racing,11,1:41.416,2.509,0.606,192.111,20:10:31,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",19O. RowlandROWDAMS,16,1:42.221,-,-,190.598,11:39:59,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",26A. MarkelovMARRUSSIAN TIME,13,1:42.313,0.092,-,190.427,11:40:16,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",31C. LeclercLECPREMA Racing,15,1:42.372,0.151,0.059,190.317,11:44:29,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",42A. FuocoFUOPREMA Racing,12,1:42.381,0.160,0.009,190.300,11:40:08,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",520N. NatoNATPertamina Arden,13,1:42.594,0.373,0.213,189.905,11:45:24,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",65L. GhiottoGHIRUSSIAN TIME,14,1:42.715,0.494,0.121,189.682,11:47:06,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",718N. de VriesDEVRapax,6,1:43.052,0.831,0.337,189.061,11:46:57,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",819J. CecottoCECRapax,16,1:43.146,0.925,0.094,188.889,11:42:34,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",97N. MatsushitaMATART Grand Prix,15,1:43.213,0.992,0.067,188.766,11:39:18,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",104G. MaljaMALRacing Engineering,14,1:43.230,1.009,0.017,188.735,11:36:17,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1114S. Sette CâmaraSETMP Motorsport,15,1:43.260,1.039,0.030,188.680,11:40:55,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1215J. KingKINMP Motorsport,15,1:43.265,1.044,0.005,188.671,11:36:22,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1310N. LatifiLATDAMS,15,1:43.323,1.102,0.058,188.565,11:36:12,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1421S. GelaelGELPertamina Arden,13,1:43.355,1.134,0.032,188.507,11:47:10,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1511R. BoschungBOSCampos Racing,12,1:43.479,1.258,0.124,188.281,11:41:46,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1612S. ColettiCOLCampos Racing,16,1:43.632,1.411,0.153,188.003,11:57:14,
