feature,issue,target,value,value2,metric_name,explanation,delta,note
driver_avg_qual_pos_at_track_bin,lagged_corr_suspicious,resultsFinalPositionNumber,0.005860417428079047,0.23341099114897004,corr_current_vs_next,"corr_current=0.0059,corr_next=0.2334,delta=0.2276",0.227550573720891,
qualifying_position_vs_constructor_median_at_track_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3763208455384729,-0.18243011076855156,corr_current_vs_next,"corr_current=-0.3763,corr_next=-0.1824,delta=0.1939",0.19389073476992133,
constructor_qual_improvement_3r_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.026372639882434108,0.09642136828532927,corr_current_vs_next,"corr_current=-0.0264,corr_next=0.0964,delta=0.1228",0.12279400816776337,
qual_vs_constructor_avg_at_track_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3426629940767804,-0.21864706695946765,corr_current_vs_next,"corr_current=-0.3427,corr_next=-0.2186,delta=0.1240",0.12401592711731277,
constructor_practice_improvement_rate_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.12681876033762038,0.05824353030903394,corr_current_vs_next,"corr_current=-0.1268,corr_next=0.0582,delta=0.1851",0.1850622906466543,
qual_vs_constructor_avg_bin,lagged_corr_suspicious,resultsFinalPositionNumber,-0.3760323920245687,-0.21210337211360014,corr_current_vs_next,"corr_current=-0.3760,corr_next=-0.2121,delta=0.1639",0.16392901991096853,
SafetyCarStatus,safetycar_candidate,resultsFinalPositionNumber,-0.0016839217188583686,,pearson_corr,corr=-0.0017,,
practice_x_safetycar,safetycar_candidate,resultsFinalPositionNumber,0.34976132617324096,,pearson_corr,corr=0.3498,,
driver_safetycar_qual_avg,safetycar_candidate,resultsFinalPositionNumber,,,pearson_corr,,,
driver_safetycar_practice_avg,safetycar_candidate,resultsFinalPositionNumber,-2.733341927700105e-16,,pearson_corr,corr=-0.0000,,
practice_x_safetycar_bin,safetycar_candidate,resultsFinalPositionNumber,0.32666417670234316,,pearson_corr,corr=0.3267,,
