year	round	driverId	driverIdNorm	first_lap_position
2010	14	liuzzi	liuzzi	14
2010	14	petrov	petrov	15
2010	14	trulli	trulli	16
2010	14	glock	glock	17
2010	14	grassi	grassi	18
2010	14	kovalainen	kovalainen	19
2010	14	yamamoto	yamamoto	20
2010	14	bruno_senna	bruno-senna	21
2010	14	sutil	sutil	22
2010	15	alonso	alonso	1
2010	15	vettel	vettel	2
2010	15	hamilton	hamilton	3
2010	15	button	button	4
2010	15	webber	webber	5
2010	15	rosberg	rosberg	6
2010	15	kubica	kubica	7
2010	15	barrichello	barrichello	8
2010	15	michael_schumacher	michael-schumacher	9
2010	15	petrov	petrov	10
2010	15	kobayashi	kobayashi	11
2010	15	buemi	buemi	12
2010	15	hulkenberg	hulkenberg	13
2010	15	sutil	sutil	14
2010	15	liuzzi	liuzzi	15
2010	15	kovalainen	kovalainen	16
2010	15	trulli	trulli	17
2010	15	glock	glock	18
2010	15	klien	klien	19
2010	15	grassi	grassi	20
2010	15	alguersuari	alguersuari	21
2010	15	bruno_senna	bruno-senna	22
2010	15	massa	massa	23
2010	15	heidfeld	heidfeld	24
2010	16	vettel	vettel	1
2010	16	kubica	kubica	2
2010	16	webber	webber	3
2010	16	alonso	alonso	4
2010	16	button	button	5
2010	16	hamilton	hamilton	6
2010	16	barrichello	barrichello	7
2010	16	michael_schumacher	michael-schumacher	8
2010	16	rosberg	rosberg	9
2010	16	heidfeld	heidfeld	10
2010	16	sutil	sutil	11
2010	16	alguersuari	alguersuari	12
2010	16	trulli	trulli	13
2010	16	kobayashi	kobayashi	14
2010	16	buemi	buemi	15
2010	16	kovalainen	kovalainen	16
2010	16	glock	glock	17
2010	16	bruno_senna	bruno-senna	18
2010	16	yamamoto	yamamoto	19
2010	17	vettel	vettel	1
2010	17	webber	webber	2
2010	17	alonso	alonso	3
2010	17	hamilton	hamilton	4
2010	17	rosberg	rosberg	5
2010	17	massa	massa	6
2010	17	button	button	7
2010	17	kubica	kubica	8
2010	17	michael_schumacher	michael-schumacher	9
2010	17	barrichello	barrichello	10
2010	17	hulkenberg	hulkenberg	11
2010	17	kobayashi	kobayashi	12
2010	17	heidfeld	heidfeld	13
2010	17	sutil	sutil	14
2010	17	alguersuari	alguersuari	15
2010	17	buemi	buemi	16
2010	17	liuzzi	liuzzi	17
2010	17	trulli	trulli	18
2010	17	glock	glock	19
2010	17	petrov	petrov	20
2010	17	kovalainen	kovalainen	21
2010	17	grassi	grassi	22
2010	17	yamamoto	yamamoto	23
2010	17	bruno_senna	bruno-senna	24
2010	18	vettel	vettel	1
2010	18	webber	webber	2
2010	18	hulkenberg	hulkenberg	3
2010	18	alonso	alonso	4
2010	18	hamilton	hamilton	5
2010	18	kubica	kubica	6
2010	18	barrichello	barrichello	7
2010	18	massa	massa	8
2010	18	button	button	9
2010	18	michael_schumacher	michael-schumacher	10
2010	18	rosberg	rosberg	11
2010	18	heidfeld	heidfeld	12
2010	18	kobayashi	kobayashi	13
2010	18	alguersuari	alguersuari	14
2010	18	buemi	buemi	15
2010	18	liuzzi	liuzzi	16
2010	18	kovalainen	kovalainen	17
2010	18	glock	glock	18
2010	18	trulli	trulli	19
2010	18	grassi	grassi	20
2010	18	sutil	sutil	21
2010	18	petrov	petrov	22
2010	18	bruno_senna	bruno-senna	23
2010	18	klien	klien	24
2010	19	vettel	vettel	1
2010	19	hamilton	hamilton	2
2010	19	button	button	3
2010	19	alonso	alonso	4
2010	19	webber	webber	5
2010	19	massa	massa	6
2010	19	barrichello	barrichello	7
2010	19	rosberg	rosberg	8
2010	19	kobayashi	kobayashi	9
2010	19	sutil	sutil	10
2010	19	petrov	petrov	11
2010	19	kubica	kubica	12
2010	19	heidfeld	heidfeld	13
2010	19	buemi	buemi	14
2010	19	hulkenberg	hulkenberg	15
