Year,Round,Session,Driver,CleanAirAvg,DirtyAirAvg,Delta,NumCleanLaps,NumDirtyLaps
2018,4,FP1,BOT,111.7076875,104.242,-7.465687500000001,16,1
2018,4,FP2,VAN,111.52490476190476,105.288,-6.236904761904768,21,1
2018,4,FP2,RIC,109.66826923076923,102.795,-6.873269230769225,26,1
2018,4,FP2,VET,111.80069230769232,104.127,-7.6736923076923205,26,1
2018,4,FP2,RAI,110.87133333333333,102.864,-8.007333333333321,21,1
2018,4,FP2,GRO,110.94466666666666,104.425,-6.519666666666666,18,1
2018,4,FP2,ERI,113.82125,106.042,-7.779250000000005,4,1
2018,4,FP2,GAS,110.58455172413794,104.712,-5.872551724137935,29,1
2018,4,FP2,PER,111.83368181818182,104.142,-7.69168181818182,22,1
2018,4,FP2,ALO,110.8900476190476,103.7,-7.190047619047604,21,1
2018,4,FP2,LEC,110.1451,104.94,-5.205100000000002,20,1
2018,4,FP2,STR,112.93754545454546,104.459,-8.478545454545454,22,1
2018,4,FP2,MAG,111.3528,103.977,-7.375799999999998,20,1
2018,4,FP2,HUL,109.17241666666666,104.091,-5.081416666666669,24,1
2018,4,FP2,HAR,111.12804166666666,105.051,-6.077041666666659,24,1
2018,4,FP2,OCO,110.45533333333333,103.814,-6.6413333333333355,21,1
2018,4,FP2,VER,110.37238888888889,102.911,-7.461388888888891,18,1
2018,4,FP2,SIR,114.32918181818182,105.007,-9.322181818181818,22,1
2018,4,FP2,HAM,110.09966666666668,103.603,-6.496666666666684,18,1
2018,4,FP2,SAI,110.18556000000001,103.834,-6.351560000000006,25,1
2018,4,FP2,BOT,111.09386666666666,103.57,-7.523866666666663,15,1
2018,4,FP3,VAN,118.05983333333334,105.505,-12.554833333333349,6,1
2018,4,FP3,RIC,111.03877777777778,104.861,-6.177777777777777,9,1
2018,4,FP3,VET,117.950125,103.091,-14.859125000000006,8,1
2018,4,FP3,RAI,113.26033333333334,103.493,-9.76733333333334,9,1
2018,4,FP3,GRO,117.0815,105.261,-11.82050000000001,6,1
2018,4,FP3,ERI,117.55125000000001,105.91,-11.641250000000014,8,1
2018,4,FP3,GAS,110.535125,104.905,-5.6301249999999925,8,1
2018,4,FP3,PER,119.9295,103.936,-15.993499999999997,4,1
2018,4,FP3,ALO,111.35733333333333,104.763,-6.594333333333324,6,1
2018,4,FP3,LEC,115.67685714285714,105.218,-10.458857142857141,7,1
2018,4,FP3,STR,116.929,104.123,-12.805999999999997,1,1
2018,4,FP3,MAG,109.0058,103.958,-5.047799999999995,5,1
2018,4,FP3,HUL,112.40314285714285,105.456,-6.94714285714285,7,1
2018,4,FP3,HAR,117.199,106.186,-11.012999999999991,3,1
2018,4,FP3,OCO,118.951,104.22,-14.730999999999995,4,1
2018,4,FP3,VER,109.4586,103.519,-5.939599999999999,10,1
2018,4,FP3,SIR,114.82275,104.534,-10.288749999999993,4,1
2018,4,FP3,HAM,116.70355555555557,103.452,-13.25155555555557,9,1
2018,4,FP3,SAI,115.05499999999999,105.432,-9.62299999999999,9,1
2018,4,FP3,BOT,111.33066666666667,103.569,-7.76166666666667,12,1
2018,5,FP1,VAN,86.68153333333333,80.083,-6.598533333333336,15,1
2018,5,FP1,RIC,89.63375,79.871,-9.762750000000011,4,1
2018,5,FP1,VET,89.32576923076923,79.098,-10.227769230769226,13,1
2018,5,FP1,RAI,85.98240000000001,79.499,-6.483400000000017,5,1
2018,5,FP1,GRO,85.89446666666666,79.906,-5.988466666666653,15,1
2018,5,FP1,ERI,95.534,80.984,-14.550000000000011,11,1
2018,5,FP1,GAS,89.54565,80.508,-9.03765,20,1
2018,5,FP1,PER,88.01313636363636,80.924,-7.0891363636363565,22,1
2018,5,FP1,ALO,86.0931,79.858,-6.235100000000003,10,1
2018,5,FP1,LEC,90.4375625,80.665,-9.772562499999992,16,1
2018,5,FP1,STR,97.44933333333334,82.756,-14.693333333333342,3,1
2018,5,FP1,MAG,87.4207,80.637,-6.783699999999996,20,1
2018,5,FP1,HUL,88.32247058823529,81.159,-7.163470588235285,17,1
2018,5,FP1,HAR,86.02966666666666,81.373,-4.656666666666652,15,1
2018,5,FP1,OCO,85.91992307692308,81.144,-4.775923076923078,13,1
2018,5,FP1,VER,87.46852631578948,79.187,-8.281526315789478,19,1
2018,5,FP1,KUB,86.619375,81.51,-5.109375,8,1
2018,5,FP1,HAM,89.86678571428571,78.997,-10.869785714285712,14,1
2018,5,FP1,SAI,90.00623529411764,81.053,-8.953235294117647,17,1
2018,5,FP1,BOT,89.23152380952381,78.148,-11.083523809523811,21,1
2018,5,FP2,VAN,85.47715789473685,79.722,-5.755157894736854,19,1
2018,5,FP2,RIC,86.38084,78.392,-7.98884000000001,25,1
2018,5,FP2,VET,85.8615652173913,78.585,-7.276565217391308,23,1
2018,5,FP2,RAI,98.02088888888889,78.829,-19.191888888888897,9,1
2018,5,FP2,GRO,87.65133333333334,79.579,-8.072333333333347,12,1
2018,5,FP2,ERI,89.23104,80.501,-8.730039999999988,25,1
