Year	Round	Session	Driver	CleanAirAvg	DirtyAirAvg	Delta	NumCleanLaps	NumDirtyLaps
2025	1	FP1	PIA	79.203	80.142	0.938999999999993	4	1
2025	1	FP1	BEA	81.234	80.022	-1.211999999999989	3	1
2018	1	FP3	VAN	99.675	97.0095	-2.6654999999999944	1	4
2018	1	FP3	HAR	101.002	97.3934	-3.60860000000001	2	5
2018	2	FP1	VAN	93.459	94.13883333333332	0.6798333333333204	4	6
2018	2	FP1	RIC	94.256	93.3386	-0.9174000000000008	1	5
2018	2	FP1	VET	91.746	94.08366666666666	2.337666666666649	2	3
2018	2	FP1	RAI	91.868	95.062	3.1940000000000026	2	6
2018	2	FP1	GRO	93.553	96.39575	2.842750000000009	3	8
2018	2	FP1	ERI	94.3965	95.76575	1.369249999999994	4	4
2018	2	FP1	GAS	93.5784	95.13875	1.5603499999999997	5	4
2018	2	FP1	PER	95.16275	96.311875	1.149124999999998	4	8
2018	2	FP1	ALO	93.52533333333334	94.01866666666666	0.4933333333333252	3	3
2018	2	FP1	LEC	93.278	95.94266666666664	2.664666666666648	1	6
2018	2	FP1	STR	95.1215	94.973	-0.1484999999999985	4	3
2018	2	FP1	MAG	93.656	96.29533333333336	2.63933333333334	2	6
2018	2	FP1	HUL	94.0106	93.942	-0.0686000000000035	5	1
2018	2	FP1	HAR	95.3624	95.8834	0.5210000000000008	5	5
2018	2	FP1	OCO	95.37566666666667	94.58283333333333	-0.7928333333333484	3	6
2018	2	FP1	SIR	94.7815	97.19063636363636	2.409136363636364	4	11
2018	2	FP1	HAM	93.425	96.2866	2.861599999999996	4	5
2018	2	FP1	BOT	93.0656	95.53433333333334	2.468733333333347	5	6
2018	2	FP2	VAN	95.70406666666666	95.47714285714288	-0.2269238095237966	15	7
2018	2	FP2	RIC	95.16715384615384	94.36966666666666	-0.7974871794871916	13	6
2018	2	FP2	VET	93.8398181818182	93.4346	-0.405218181818185	11	5
2018	2	FP2	RAI	95.477	90.56825	-4.908750000000012	8	4
2018	2	FP2	GRO	95.8422	95.27125	-0.5709500000000105	10	8
2018	2	FP2	ERI	95.78508333333332	97.61275	1.8276666666666728	12	8
2018	2	FP2	GAS	95.81807692307692	95.30445454545452	-0.5136223776223829	13	11
2018	2	FP2	PER	95.6363	95.428	-0.2083000000000083	10	7
2018	2	FP2	ALO	95.07077777777778	95.14442857142856	0.0736507936507848	9	7
2018	2	FP2	LEC	96.61888888888888	96.0096153846154	-0.6092735042735029	9	13
2018	2	FP2	STR	95.8954	96.0252	0.129800000000003	10	5
2018	2	FP2	MAG	95.79322222222224	95.9633846153846	0.1701623931623856	9	13
2018	2	FP2	HUL	96.84084615384616	93.8502	-2.990646153846157	13	5
2018	2	FP2	HAR	96.38776923076922	96.1545	-0.2332692307692099	13	10
2018	2	FP2	OCO	95.31633333333332	96.0369	0.7205666666666701	9	10
2018	2	FP2	VER	94.506	94.891	0.3850000000000051	11	7
2018	2	FP2	SIR	96.63145454545452	97.0875	0.4560454545454746	11	10
2018	2	FP2	HAM	95.39833333333333	93.85466666666667	-1.5436666666666523	12	3
2018	2	FP2	SAI	95.52372727272729	96.420125	0.8963977272727277	11	8
2018	2	FP2	BOT	95.16621428571428	95.542	0.3757857142857119	14	4
2018	2	FP3	RIC	92.008	90.452	-1.5559999999999974	1	1
2018	2	FP3	GRO	93.992	92.77466666666668	-1.217333333333329	1	3
2018	2	FP3	LEC	93.036	92.8208	-0.2151999999999958	1	5
2018	2	FP3	HUL	92.973	91.9195	-1.0534999999999997	1	2
2018	2	FP3	HAM	90.691	92.70166666666668	2.010666666666665	1	6
2018	2	FP3	SAI	92.407	92.599	0.1920000000000072	1	3
2018	2	FP3	BOT	90.896	93.25416666666666	2.358166666666662	1	6
2018	3	FP1	RIC	98.48966666666666	98.59528571428572	0.1056190476190579	3	7
2018	3	FP1	ERI	99.032	99.0807142857143	0.048714285714297	1	7
2018	3	FP1	PER	99.225	99.00076923076924	-0.2242307692307577	1	13
2018	3	FP1	ALO	99.922	98.39653846153846	-1.525461538461542	1	13
2018	3	FP1	HAR	102.855	98.58272727272724	-4.27227272727275	1	11
2018	3	FP1	OCO	101.238	98.957125	-2.2808749999999947	1	16
2018	3	FP1	SIR	101.599	100.0395	-1.5595	1	16
2018	3	FP1	HAM	97.434	97.093	-0.340999999999994	2	8
2018	3	FP1	SAI	99.37666666666668	97.912	-1.464666666666659	3	7
2018	3	FP1	BOT	97.8345	97.88214285714284	0.0476428571428613	2	14
2018	3	FP3	VET	93.018	94.081	1.0630000000000024	1	3
2018	3	FP3	RAI	93.739	97.7278	3.9887999999999977	1	5
2018	3	FP3	GAS	96.596	96.5088	-0.0872000000000099	1	5
2018	3	FP3	MAG	100.22	99.36685714285714	-0.8531428571428563	1	14
2018	3	FP3	HUL	98.966	98.79933333333334	-0.1666666666666572	1	6
2018	3	FP3	VER	95.797	95.20333333333332	-0.5936666666666639	2	3
2018	3	FP3	HAM	94.057	97.466	3.409000000000006	1	2
2018	3	FP3	BOT	93.88	94.79433333333331	0.9143333333333316	1	3
2018	4	FP1	VAN	109.7292	108.466	-1.2631999999999977	5	1
2018	4	FP1	RIC	106.5324	107.2132857142857	0.6808857142856937	5	7
2018	4	FP1	GRO	108.908	107.72485714285716	-1.1831428571428546	4	7
2018	4	FP1	ERI	110.951	109.57785714285714	-1.3731428571428523	1	7
2018	4	FP1	GAS	110.424	107.28000000000002	-3.1439999999999912	1	3
2018	4	FP1	PER	105.985	107.5122	1.5272000000000077	2	5
2018	4	FP1	ALO	109.51083333333334	107.601	-1.9098333333333384	6	2
2018	4	FP1	LEC	111.998	108.2958	-3.702199999999991	1	5
2018	4	FP1	STR	110.5505	107.67455555555556	-2.875944444444442	2	9
2018	4	FP1	MAG	113.108	108.15557142857142	-4.952428571428584	1	7
2018	4	FP1	HUL	109.578	107.0375	-2.5405000000000086	2	2
2018	4	FP1	HAR	109.19216666666668	109.7441818181818	0.5520151515151497	6	11
