Driver	LapNumber	Position	round	year
HAM	58.0	2.0	1	2018
VET	1.0	3.0	1	2018
VET	2.0	3.0	1	2018
VET	3.0	3.0	1	2018
VET	4.0	3.0	1	2018
VET	5.0	3.0	1	2018
VET	6.0	3.0	1	2018
VET	7.0	3.0	1	2018
VET	8.0	3.0	1	2018
VET	9.0	3.0	1	2018
VET	10.0	3.0	1	2018
VET	11.0	3.0	1	2018
VET	12.0	3.0	1	2018
VET	13.0	3.0	1	2018
VET	14.0	3.0	1	2018
VET	15.0	3.0	1	2018
VET	16.0	3.0	1	2018
VET	17.0	3.0	1	2018
VET	18.0	2.0	1	2018
VET	19.0	1.0	1	2018
VET	20.0	1.0	1	2018
VET	21.0	1.0	1	2018
VET	22.0	1.0	1	2018
VET	23.0	1.0	1	2018
VET	24.0	1.0	1	2018
VET	25.0	1.0	1	2018
VET	26.0	1.0	1	2018
VET	27.0	1.0	1	2018
VET	28.0	1.0	1	2018
VET	29.0	1.0	1	2018
VET	30.0	1.0	1	2018
VET	31.0	1.0	1	2018
VET	32.0	1.0	1	2018
VET	33.0	1.0	1	2018
VET	34.0	1.0	1	2018
VET	35.0	1.0	1	2018
VET	36.0	1.0	1	2018
VET	37.0	1.0	1	2018
VET	38.0	1.0	1	2018
VET	39.0	1.0	1	2018
VET	40.0	1.0	1	2018
VET	41.0	1.0	1	2018
VET	42.0	1.0	1	2018
VET	43.0	1.0	1	2018
VET	44.0	1.0	1	2018
VET	45.0	1.0	1	2018
VET	46.0	1.0	1	2018
VET	47.0	1.0	1	2018
VET	48.0	1.0	1	2018
VET	49.0	1.0	1	2018
VET	50.0	1.0	1	2018
VET	51.0	1.0	1	2018
VET	52.0	1.0	1	2018
VET	53.0	1.0	1	2018
VET	54.0	1.0	1	2018
VET	55.0	1.0	1	2018
VET	56.0	1.0	1	2018
VET	57.0	1.0	1	2018
VET	58.0	1.0	1	2018
SAI	1.0	9.0	1	2018
SAI	2.0	9.0	1	2018
SAI	3.0	9.0	1	2018
SAI	4.0	9.0	1	2018
SAI	5.0	9.0	1	2018
SAI	6.0	9.0	1	2018
SAI	7.0	9.0	1	2018
SAI	8.0	9.0	1	2018
SAI	9.0	9.0	1	2018
SAI	10.0	9.0	1	2018
SAI	11.0	9.0	1	2018
SAI	12.0	9.0	1	2018
SAI	13.0	9.0	1	2018
SAI	14.0	9.0	1	2018
SAI	15.0	9.0	1	2018
SAI	16.0	9.0	1	2018
SAI	17.0	9.0	1	2018
SAI	18.0	9.0	1	2018
SAI	19.0	9.0	1	2018
SAI	20.0	9.0	1	2018
SAI	21.0	8.0	1	2018
SAI	22.0	15.0	1	2018
SAI	23.0	13.0	1	2018
SAI	24.0	12.0	1	2018
SAI	25.0	10.0	1	2018
SAI	26.0	10.0	1	2018
SAI	27.0	10.0	1	2018
SAI	28.0	10.0	1	2018
SAI	29.0	10.0	1	2018
SAI	30.0	10.0	1	2018
SAI	31.0	10.0	1	2018
SAI	32.0	10.0	1	2018
SAI	33.0	10.0	1	2018
SAI	34.0	10.0	1	2018
SAI	35.0	10.0	1	2018
