Time	Driver	DriverNumber	LapTime	LapNumber	Stint	PitOutTime	PitInTime	Sector1Time	Sector2Time	Sector3Time	Sector1SessionTime	Sector2SessionTime	Sector3SessionTime	SpeedI1	SpeedI2	SpeedFL	SpeedST	IsPersonalBest	Compound	TyreLife	FreshTyre	Team	LapStartTime	LapStartDate	TrackStatus	Position	Deleted	DeletedReason	FastF1Generated	IsAccurate	Year	FP_Name	Round	Session	best_s1	best_s2	best_s3	best_theory_lap	best_theory_lap_diff	SpeedI1_mph	SpeedI2_mph	SpeedFL_mph	SpeedST_mph	LapTime_sec	Sector1Time_sec	Sector2Time_sec	Sector3Time_sec	best_s1_sec	best_s2_sec	best_s3_sec	best_theory_lap_sec	best_theory_lap_diff_sec	raceId	raceId.1	raceId.2	raceId.3	raceId.4	raceId
0 days 01:13:38.905000	VET	5	0 days 00:01:31.470000	10.0	3.0			0 days 00:00:28.992000	0 days 00:00:39.544000	0 days 00:00:22.934000	0 days 01:12:36.427000	0 days 01:13:15.971000	0 days 01:13:38.905000	244.0	263.0	286.0	310.0	True	SOFT	1.0	True	Ferrari	0 days 01:12:07.435000	2018-04-06 12:08:16.609	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:28.992000	0 days 00:00:39.544000	0 days 00:00:22.934000	0 days 00:01:31.470000	0 days 00:00:00	151.614524	163.420573	177.712106	192.62501	91.47	28.992	39.544	22.934	28.992	39.544	22.934	91.47	0.0	978	978	978	978	978	978
0 days 01:09:37.681000	RAI	7	0 days 00:01:31.458000	10.0	3.0			0 days 00:00:29.090000	0 days 00:00:39.481000	0 days 00:00:22.887000	0 days 01:08:35.313000	0 days 01:09:14.794000	0 days 01:09:37.681000	241.0	261.0	286.0	311.0	True	SOFT	2.0	True	Ferrari	0 days 01:08:06.223000	2018-04-06 12:04:15.397	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.065000	0 days 00:00:39.481000	0 days 00:00:22.887000	0 days 00:01:31.433000	0 days 00:00:00.025000	149.750411	162.177831	177.712106	193.246381	91.458	29.09	39.481	22.887	29.065	39.481	22.887	91.433	0.025	978	978	978	978	978	978
0 days 00:57:30.645000	GRO	8	0 days 00:01:32.516000	11.0	3.0			0 days 00:00:29.441000	0 days 00:00:39.936000	0 days 00:00:23.139000	0 days 00:56:27.570000	0 days 00:57:07.506000	0 days 00:57:30.645000	238.0	258.0	282.0	304.0	True	SUPERSOFT	2.0	True	Haas F1 Team	0 days 00:55:58.129000	2018-04-06 11:52:07.303	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.441000	0 days 00:00:39.936000	0 days 00:00:23.139000	0 days 00:01:32.516000	0 days 00:00:00	147.886298	160.313718	175.226622	188.896784	92.516	29.441	39.936	23.139	29.441	39.936	23.139	92.516	0.0	978	978	978	978	978	978
0 days 01:01:28.355000	ERI	9	0 days 00:01:33.508000	11.0	4.0			0 days 00:00:29.862000	0 days 00:00:40.301000	0 days 00:00:23.345000	0 days 01:00:24.709000	0 days 01:01:05.010000	0 days 01:01:28.355000	243.0	268.0	288.0	313.0	True	SOFT	2.0	True	Sauber	0 days 00:59:54.847000	2018-04-06 11:56:04.021	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.715000	0 days 00:00:40.301000	0 days 00:00:23.345000	0 days 00:01:33.361000	0 days 00:00:00.147000	150.993153	166.52742800000001	178.954848	194.489123	93.508	29.862	40.301	23.345	29.715	40.301	23.345	93.361	0.147	978	978	978	978	978	978
0 days 01:03:41.574000	GAS	10	0 days 00:01:32.779000	14.0	4.0			0 days 00:00:29.570000	0 days 00:00:39.916000	0 days 00:00:23.293000	0 days 01:02:38.365000	0 days 01:03:18.281000	0 days 01:03:41.574000	243.0	265.0	286.0	313.0	True	SOFT	2.0	True	Toro Rosso	0 days 01:02:08.795000	2018-04-06 11:58:17.969	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.552000	0 days 00:00:39.916000	0 days 00:00:23.194000	0 days 00:01:32.662000	0 days 00:00:00.117000	150.993153	164.663315	177.712106	194.489123	92.779	29.57	39.916	23.293	29.552	39.916	23.194	92.662	0.117	978	978	978	978	978	978
0 days 01:04:50.741000	PER	11	0 days 00:01:33.662000	12.0	3.0			0 days 00:00:29.666000	0 days 00:00:40.532000	0 days 00:00:23.464000	0 days 01:03:46.745000	0 days 01:04:27.277000	0 days 01:04:50.741000	240.0	262.0	284.0	315.0	True	MEDIUM	2.0	True	Force India	0 days 01:03:17.079000	2018-04-06 11:59:26.253	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.666000	0 days 00:00:40.532000	0 days 00:00:23.460000	0 days 00:01:33.658000	0 days 00:00:00.004000	149.12904	162.799202	176.469364	195.731865	93.662	29.666	40.532	23.464	29.666	40.532	23.46	93.658	0.004	978	978	978	978	978	978
0 days 00:54:35.797000	ALO	14	0 days 00:01:33.223000	9.0	4.0			0 days 00:00:29.736000	0 days 00:00:40.021000	0 days 00:00:23.466000	0 days 00:53:32.310000	0 days 00:54:12.331000	0 days 00:54:35.797000	242.0	261.0	280.0	301.0	True	SUPERSOFT	2.0	True	McLaren	0 days 00:53:02.574000	2018-04-06 11:49:11.748	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.736000	0 days 00:00:40.021000	0 days 00:00:23.211000	0 days 00:01:32.968000	0 days 00:00:00.255000	150.371782	162.177831	173.98388	187.032671	93.223	29.736	40.021	23.466	29.736	40.021	23.211	92.968	0.255	978	978	978	978	978	978
0 days 00:57:00.816000	LEC	16	0 days 00:01:33.278000	10.0	4.0			0 days 00:00:29.654000	0 days 00:00:40.497000	0 days 00:00:23.127000	0 days 00:55:57.192000	0 days 00:56:37.689000	0 days 00:57:00.816000	240.0	267.0	286.0	312.0	True	SOFT	3.0	False	Sauber	0 days 00:55:27.538000	2018-04-06 11:51:36.712	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.555000	0 days 00:00:40.367000	0 days 00:00:23.127000	0 days 00:01:33.049000	0 days 00:00:00.229000	149.12904	165.906057	177.712106	193.867752	93.278	29.654	40.497	23.127	29.555	40.367	23.127	93.049	0.229	978	978	978	978	978	978
0 days 00:56:47.777000	STR	18	0 days 00:01:33.379000	15.0	5.0			0 days 00:00:29.819000	0 days 00:00:40.240000	0 days 00:00:23.320000	0 days 00:55:44.217000	0 days 00:56:24.457000	0 days 00:56:47.777000	243.0	266.0	284.0	310.0	True	SOFT	2.0	True	Williams	0 days 00:55:14.398000	2018-04-06 11:51:23.572	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.662000	0 days 00:00:40.240000	0 days 00:00:23.320000	0 days 00:01:33.222000	0 days 00:00:00.157000	150.993153	165.284686	176.469364	192.62501	93.379	29.819	40.24	23.32	29.662	40.24	23.32	93.222	0.157	978	978	978	978	978	978
0 days 00:56:37.115000	MAG	20	0 days 00:01:32.971000	10.0	3.0			0 days 00:00:29.688000	0 days 00:00:40.099000	0 days 00:00:23.184000	0 days 00:55:33.832000	0 days 00:56:13.931000	0 days 00:56:37.115000	237.0	256.0	283.0	304.0	True	SUPERSOFT	2.0	True	Haas F1 Team	0 days 00:55:04.144000	2018-04-06 11:51:13.318	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.615000	0 days 00:00:40.099000	0 days 00:00:23.184000	0 days 00:01:32.898000	0 days 00:00:00.073000	147.264927	159.070976	175.847993	188.896784	92.971	29.688	40.099	23.184	29.615	40.099	23.184	92.898	0.073	978	978	978	978	978	978
0 days 01:01:22.662000	HUL	27	0 days 00:01:33.104000	8.0	3.0			0 days 00:00:29.662000	0 days 00:00:40.128000	0 days 00:00:23.314000	0 days 01:00:19.220000	0 days 01:00:59.348000	0 days 01:01:22.662000	242.0	261.0	284.0	307.0	True	SUPERSOFT	2.0	True	Renault	0 days 00:59:49.558000	2018-04-06 11:55:58.732	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.568000	0 days 00:00:40.128000	0 days 00:00:23.266000	0 days 00:01:32.962000	0 days 00:00:00.142000	150.371782	162.177831	176.469364	190.760897	93.104	29.662	40.128	23.314	29.568	40.128	23.266	92.962	0.142	978	978	978	978	978	978
0 days 01:00:59.362000	HAR	28	0 days 00:01:33.497000	14.0	5.0			0 days 00:00:29.680000	0 days 00:00:40.455000	0 days 00:00:23.362000	0 days 00:59:55.545000	0 days 01:00:36	0 days 01:00:59.362000	242.0	264.0	279.0	311.0	True	SOFT	2.0	True	Toro Rosso	0 days 00:59:25.865000	2018-04-06 11:55:35.039	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.680000	0 days 00:00:40.455000	0 days 00:00:23.362000	0 days 00:01:33.497000	0 days 00:00:00	150.371782	164.041944	173.362509	193.246381	93.497	29.68	40.455	23.362	29.68	40.455	23.362	93.497	0.0	978	978	978	978	978	978
0 days 01:23:15.778000	OCO	31	0 days 00:01:33.794000	16.0	4.0			0 days 00:00:29.698000	0 days 00:00:40.613000	0 days 00:00:23.483000	0 days 01:22:11.682000	0 days 01:22:52.295000	0 days 01:23:15.778000	240.0	263.0	284.0	312.0	True	MEDIUM	2.0	True	Force India	0 days 01:21:41.984000	2018-04-06 12:17:51.158	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.698000	0 days 00:00:40.476000	0 days 00:00:23.483000	0 days 00:01:33.657000	0 days 00:00:00.137000	149.12904	163.420573	176.469364	193.867752	93.794	29.698	40.613	23.483	29.698	40.476	23.483	93.657	0.137	978	978	978	978	978	978
0 days 01:05:14.050000	SIR	35	0 days 00:01:33.467000	14.0	5.0			0 days 00:00:29.797000	0 days 00:00:40.275000	0 days 00:00:23.395000	0 days 01:04:10.380000	0 days 01:04:50.655000	0 days 01:05:14.050000	245.0	268.0	284.0	316.0	True	SOFT	1.0	True	Williams	0 days 01:03:40.583000	2018-04-06 11:59:49.757	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.772000	0 days 00:00:40.275000	0 days 00:00:23.395000	0 days 00:01:33.442000	0 days 00:00:00.025000	152.235895	166.52742800000001	176.469364	196.353236	93.467	29.797	40.275	23.395	29.772	40.275	23.395	93.442	0.025	978	978	978	978	978	978
0 days 01:03:30.782000	HAM	44	0 days 00:01:32.272000	11.0	3.0			0 days 00:00:29.235000	0 days 00:00:39.959000	0 days 00:00:23.078000	0 days 01:02:27.745000	0 days 01:03:07.704000	0 days 01:03:30.782000		268.0	289.0	311.0	True	SOFT	3.0	True	Mercedes	0 days 01:01:58.510000	2018-04-06 11:58:07.684	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.091000	0 days 00:00:39.959000	0 days 00:00:22.965000	0 days 00:01:32.015000	0 days 00:00:00.257000		166.52742800000001	179.576219	193.246381	92.272	29.235	39.959	23.078	29.091	39.959	22.965	92.015	0.257	978	978	978	978	978	978
0 days 01:01:13.520000	SAI	55	0 days 00:01:32.885000	10.0	4.0			0 days 00:00:29.548000	0 days 00:00:40.103000	0 days 00:00:23.234000	0 days 01:00:10.183000	0 days 01:00:50.286000	0 days 01:01:13.520000	242.0	261.0	283.0	305.0	True	SUPERSOFT	2.0	True	Renault	0 days 00:59:40.635000	2018-04-06 11:55:49.809	1.0		False		False	True	2018	Bahrain Grand Prix	2	FP1	0 days 00:00:29.548000	0 days 00:00:40.103000	0 days 00:00:23.234000	0 days 00:01:32.885000	0 days 00:00:00	150.371782	162.177831	175.847993	189.518155	92.885	29.548	40.103	23.234	29.548	40.103	23.234	92.885	0.0	978	978	978	978	978	978
