date_hourly	latitude_hourly	longitude_hourly	temperature_2m	hourly_precipitation	relative_humidity_2m	short_date	wind_speed_10m	id_races	hourly_precipitation_probability	grandPrixId	circuitId
2015-04-12 09:00:00+00:00	31.318099975585938	121.21573638916016	64.76	0.0	55.520332	2015-04-12	6.3979764	919		china	shanghai
2015-04-12 10:00:00+00:00	31.318099975585938	121.21573638916016	60.980003	0.0	64.70307	2015-04-12	5.3172884	919		china	shanghai
2015-04-12 11:00:00+00:00	31.318099975585938	121.21573638916016	57.11	0.0	73.306625	2015-04-12	5.236683	919		china	shanghai
2015-04-12 12:00:00+00:00	31.318099975585938	121.21573638916016	55.04	0.0	79.27629	2015-04-12	4.6116934	919		china	shanghai
2015-04-12 13:00:00+00:00	31.318099975585938	121.21573638916016	53.87	0.0	83.288506	2015-04-12	3.5861838	919		china	shanghai
2015-04-12 14:00:00+00:00	31.318099975585938	121.21573638916016	53.42	0.0	85.815895	2015-04-12	8.003335	919		china	shanghai
2015-04-12 15:00:00+00:00	31.318099975585938	121.21573638916016	53.690002	0.0	86.98893	2015-04-12	10.482917	919		china	shanghai
2015-04-12 16:00:00+00:00	31.318099975585938	121.21573638916016	53.87	0.0	88.75937	2015-04-12	11.428422	919		china	shanghai
2015-04-12 17:00:00+00:00	31.318099975585938	121.21573638916016	53.059998	0.0	90.8225	2015-04-12	10.459022	919		china	shanghai
2015-04-12 18:00:00+00:00	31.318099975585938	121.21573638916016	51.8	0.0	92.00027	2015-04-12	9.933892	919		china	shanghai
2015-04-12 19:00:00+00:00	31.318099975585938	121.21573638916016	49.01	0.0	91.59423	2015-04-12	9.493423	919		china	shanghai
2015-04-12 20:00:00+00:00	31.318099975585938	121.21573638916016	47.84	0.0	93.12632	2015-04-12	9.93641	919		china	shanghai
2015-04-12 21:00:00+00:00	31.318099975585938	121.21573638916016	47.39	0.0	92.47961	2015-04-12	9.906147	919		china	shanghai
2015-04-12 22:00:00+00:00	31.318099975585938	121.21573638916016	47.12	0.0	92.15528	2015-04-12	10.399043	919		china	shanghai
2015-04-12 23:00:00+00:00	31.318099975585938	121.21573638916016	47.66	0.0	90.30319	2015-04-12	10.135856	919		china	shanghai
2015-04-19 00:00:00+00:00	26.045692443847656	50.51422500610352	75.5402	0.0	53.4511	2015-04-19	20.18017	920		bahrain	bahrain
2015-04-19 01:00:00+00:00	26.045692443847656	50.51422500610352	75.0002	0.0	54.42277	2015-04-19	19.731304	920		bahrain	bahrain
2015-04-19 02:00:00+00:00	26.045692443847656	50.51422500610352	74.7302	0.0	54.03322	2015-04-19	19.482458	920		bahrain	bahrain
2015-04-19 03:00:00+00:00	26.045692443847656	50.51422500610352	74.4602	0.0	53.47115	2015-04-19	19.061813	920		bahrain	bahrain
2015-04-19 04:00:00+00:00	26.045692443847656	50.51422500610352	74.7302	0.0	52.1348	2015-04-19	18.796124	920		bahrain	bahrain
2015-04-19 05:00:00+00:00	26.045692443847656	50.51422500610352	75.4502	0.0	48.780285	2015-04-19	18.392439	920		bahrain	bahrain
2015-04-19 06:00:00+00:00	26.045692443847656	50.51422500610352	76.5302	0.0	44.944397	2015-04-19	18.540129	920		bahrain	bahrain
2015-04-19 07:00:00+00:00	26.045692443847656	50.51422500610352	77.8802	0.0	44.56251	2015-04-19	17.677961	920		bahrain	bahrain
2015-04-19 08:00:00+00:00	26.045692443847656	50.51422500610352	78.8702	0.0	45.745785	2015-04-19	16.574947	920		bahrain	bahrain
2015-04-19 09:00:00+00:00	26.045692443847656	50.51422500610352	79.3202	0.0	47.785603	2015-04-19	15.832209	920		bahrain	bahrain
2015-04-19 10:00:00+00:00	26.045692443847656	50.51422500610352	79.1402	0.0	50.28838	2015-04-19	15.951864	920		bahrain	bahrain
2015-04-19 11:00:00+00:00	26.045692443847656	50.51422500610352	78.6902	0.0	52.19783	2015-04-19	16.14674	920		bahrain	bahrain
2015-04-19 12:00:00+00:00	26.045692443847656	50.51422500610352	78.2402	0.0	52.97692	2015-04-19	16.482607	920		bahrain	bahrain
2015-04-19 13:00:00+00:00	26.045692443847656	50.51422500610352	77.7002	0.0	53.584232	2015-04-19	16.650253	920		bahrain	bahrain
2015-04-19 14:00:00+00:00	26.045692443847656	50.51422500610352	77.2502	0.0	53.348827	2015-04-19	16.650253	920		bahrain	bahrain
2015-04-19 15:00:00+00:00	26.045692443847656	50.51422500610352	76.8002	0.0	53.457043	2015-04-19	16.261005	920		bahrain	bahrain
2015-04-19 16:00:00+00:00	26.045692443847656	50.51422500610352	76.350204	0.0	53.738995	2015-04-19	15.358922	920		bahrain	bahrain
2015-04-19 17:00:00+00:00	26.045692443847656	50.51422500610352	75.9902	0.0	53.86181	2015-04-19	14.14803	920		bahrain	bahrain
2015-04-19 18:00:00+00:00	26.045692443847656	50.51422500610352	75.5402	0.0	54.1474	2015-04-19	13.106987	920		bahrain	bahrain
2015-04-19 19:00:00+00:00	26.045692443847656	50.51422500610352	75.1802	0.0	53.74733	2015-04-19	12.3035	920		bahrain	bahrain
2015-04-19 20:00:00+00:00	26.045692443847656	50.51422500610352	74.6402	0.0	53.150047	2015-04-19	11.872971	920		bahrain	bahrain
2015-04-19 21:00:00+00:00	26.045692443847656	50.51422500610352	74.100204	0.0	54.650192	2015-04-19	11.8561	920		bahrain	bahrain
2015-04-19 22:00:00+00:00	26.045692443847656	50.51422500610352	73.6502	0.0	54.05631	2015-04-19	11.180524	920		bahrain	bahrain
2015-04-19 23:00:00+00:00	26.045692443847656	50.51422500610352	73.2902	0.0	54.00536	2015-04-19	12.26276	920		bahrain	bahrain
2015-05-10 00:00:00+00:00	41.58172225952149	2.207792282104492	61.1888	0.0	91.125786	2015-05-10	1.9112936	921		spain	catalunya
2015-05-10 01:00:00+00:00	41.58172225952149	2.207792282104492	60.5588	0.0	90.51575	2015-05-10	2.0256896	921		spain	catalunya
2015-05-10 02:00:00+00:00	41.58172225952149	2.207792282104492	60.0188	0.0	90.788475	2015-05-10	2.2813013	921		spain	catalunya
